generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
67,360,1.2728470310895234e-05,1.9754484782309643e-05,1.5753515680962348e-05,1.1646419226573205e-06
68,340,1.2728470310895234e-05,1.971173333734629e-05,1.5736068229666657e-05,1.1556660982230588e-06
69,344,1.3059532954820755e-05,2.0259921827014465e-05,1.5730526459870727e-05,1.1860710776144821e-06
70,349,1.2629523501832369e-05,2.022641280483147e-05,1.5685115524466447e-05,1.1936068460690336e-06
71,349,1.2819107659474894e-05,1.9393597262239766e-05,1.574268433282073e-05,1.18289271990141e-06
72,355,1.2846492840851387e-05,1.999457332520427e-05,1.5741180877547065e-05,1.2791114436469668e-06
73,338,1.3004800380997581e-05,1.9651637160584804e-05,1.5757628475925204e-05,1.2002730093124357e-06
74,322,1.3165882980194625e-05,2.0030221973266997e-05,1.5817895210512017e-05,1.1440091458038394e-06
75,339,1.299543064575431e-05,1.969764850631907e-05,1.5927034754485343e-05,1.2732674579928024e-06
76,328,1.324692558042345e-05,2.0012213866601594e-05,1.5935591748376898e-05,1.3009835313203788e-06
77,341,1.2707854174273798e-05,1.9397292425449717e-05,1.5863709291013544e-05,1.1828923026173241e-06
78,319,1.265508213680518e-05,1.95074867337645e-05,1.5817016958882626e-05,1.2214579478036296e-06
79,343,1.281567707706651e-05,1.9674847015161404e-05,1.576375654342771e-05,1.2107445358699877e-06
80,337,1.2890670448311931e-05,2.273517464638461e-05,1.5761033210333186e-05,1.3183100432510562e-06
81,336,1.2625843813786755e-05,2.0782309166503622e-05,1.5815385640377478e-05,1.3086876022476942e-06
82,338,1.2890670448311931e-05,1.9931375061619375e-05,1.588049353826733e-05,1.286750019989315e-06
83,343,1.298071445418844e-05,1.9369515770547145e-05,1.570137643287695e-05,1.1334811880128537e-06
84,357,1.2302877956119594e-05,1.9877409928615385e-05,1.5640471913557368e-05,1.239794292117583e-06
85,337,1.3040751046537726e-05,1.928507354513764e-05,1.5666312927496777e-05,1.163832703548337e-06
86,352,1.3050885294585218e-05,2.035695026083447e-05,1.565488033083692e-05,1.2064497565507312e-06
87,343,1.2751859160555744e-05,1.9352523982579494e-05,1.5609509043707162e-05,1.1319162148295731e-06
88,336,1.28243232989761e-05,2.072693035447213e-05,1.5685022071372853e-05,1.234447690733804e-06
89,344,1.2602218472496386e-05,1.9493441091657463e-05,1.560978340335393e-05,1.2535313313375936e-06
90,323,1.2796547264588558e-05,2.130750568765377e-05,1.559937248537749e-05,1.208476102721708e-06
91,335,1.2818963405135595e-05,2.130750568765377e-05,1.5736858135650917e-05,1.1565575828441873e-06
92,346,1.3106281793724288e-05,2.0159483009279082e-05,1.5715547487538565e-05,1.188106187270177e-06
93,348,1.2405258577155241e-05,1.923048807506493e-05,1.5785406606645525e-05,1.1968185140368084e-06
94,350,1.3039836443627187e-05,2.1023767705160485e-05,1.587631793608318e-05,1.2362698595278095e-06
95,334,1.2702598487496113e-05,2.1023767705160485e-05,1.5854602841709397e-05,1.303377391620024e-06
96,343,1.261066477884352e-05,2.1023767705160485e-05,1.5824569179551418e-05,1.237661874748425e-06
97,345,1.2893518068166056e-05,1.9197121138281053e-05,1.5776252700169447e-05,1.131919196918229e-06
98,346,1.289578794949319e-05,2.0351697682130305e-05,1.5740502069212477e-05,1.1970967771629238e-06
99,344,1.227056237188215e-05,1.9115210601141024e-05,1.570983147343969e-05,1.215179030046464e-06
100,340,1.2988621819581931e-05,2.034862473381497e-05,1.5793263071617553e-05,1.1995193923283472e-06
101,355,1.2557273050703415e-05,2.034862473381497e-05,1.5718894060107718e-05,1.2250636120588538e-06
102,342,1.2765982815760837e-05,1.9565505013936793e-05,1.5665300922953903e-05,1.2087263821828875e-06
103,334,1.2640414842786117e-05,1.9565505013936793e-05,1.565048277430413e-05,1.1871063716774728e-06
104,327,1.2354985180280004e-05,1.9565505013936793e-05,1.5695017377414657e-05,1.1781590754798917e-06
105,337,1.293577253876796e-05,2.0155804921369963e-05,1.5799718775810565e-05,1.2464289319994468e-06
106,331,1.299371484450128e-05,1.9910439946765268e-05,1.575793856651533e-05,1.2354713074455652e-06
107,324,1.3295350293232528e-05,2.0117201616133335e-05,1.586206165088496e-05,1.1842310899276542e-06
108,331,1.2777147859280714e-05,2.0117201616133335e-05,1.5868872120027082e-05,1.2248494642609969e-06
109,344,1.3166905687246302e-05,2.06206540312426e-05,1.586392236908773e-05,1.2210280677883479e-06
110,350,1.2811795766413842e-05,2.071802231065404e-05,1.5823369882656192e-05,1.2128665685569959e-06
111,338,1.3040421241238025e-05,2.1316325188641945e-05,1.5812556197779128e-05,1.1794297645429315e-06
112,343,1.2770999128014624e-05,2.1397077417307887e-05,1.5850092574812175e-05,1.3514921231519558e-06
113,341,1.2422911603136567e-05,2.1397077417307887e-05,1.5617353291403317e-05,1.2971311097263637e-06
114,330,1.3077601438053503e-05,2.1397077417307887e-05,1.5624032663392016e-05,1.2367709422344354e-06
115,328,1.2502203583948914e-05,2.117910145798894e-05,1.5486638003830035e-05,1.1878229464045142e-06
116,339,1.2502203583948914e-05,1.932233002404881e-05,1.559896447040817e-05,1.183053672068252e-06
117,348,1.3165133129320419e-05,1.9574907954744822e-05,1.5604115649344093e-05,1.1425305575487353e-06
118,327,1.2925108073474256e-05,1.9455757276842355e-05,1.5610724043717564e-05,1.215557980129071e-06
119,340,1.313860877872723e-05,1.9696676350792388e-05,1.571661864079521e-05,1.1857765317886095e-06
120,351,1.269436221689109e-05,1.9754630904691033e-05,1.5655354734871792e-05,1.1576832580780003e-06
121,323,1.279594606718658e-05,1.974002273825318e-05,1.5710729368159517e-05,1.2650346877127061e-06
122,342,1.2588426638261148e-05,2.064524385634954e-05,1.5739465024239957e-05,1.2684247504049292e-06
123,337,1.3162922710619163e-05,2.1027013882144624e-05,1.5765595688116044e-05,1.2783580786776955e-06
124,358,1.2987592348340316e-05,2.1435083427513423e-05,1.5784212955497803e-05,1.2280404799369679e-06
125,344,1.3219381238571862e-05,1.9770305270513263e-05,1.5620862871223125e-05,1.1682252490438044e-06
126,320,1.2982274615376256e-05,1.9770305270513263e-05,1.5636886232929806e-05,1.159763823801335e-06
127,338,1.2251837024635526e-05,1.9770305270513263e-05,1.5672561411809502e-05,1.1443525029832232e-06
128,346,1.21056954575743e-05,2.053785903641244e-05,1.5648971066880976e-05,1.1744950733660357e-06
129,338,1.2729593944322073e-05,2.053785903641244e-05,1.5705984338160033e-05,1.1998086815024595e-06
130,337,1.2293340699884306e-05,2.0117080068502698e-05,1.5775908861247686e-05,1.2545444721338147e-06
131,335,1.302650042771185e-05,1.98117300908257e-05,1.5726118452596152e-05,1.2754794978335297e-06
132,349,1.2906833175676202e-05,2.0498981544604373e-05,1.574295249107472e-05,1.2162986752348846e-06
133,327,1.322814978866045e-05,1.945641182460705e-05,1.5779744085971257e-05,1.1849711202371366e-06
134,337,1.2812005951433379e-05,1.9869067555388244e-05,1.587037629588669e-05,1.2262938476501366e-06
135,339,1.2658864613679765e-05,2.148798732746271e-05,1.5980831771466135e-05,1.2992342253642756e-06
136,348,1.3097525940207403e-05,1.979218389559598e-05,1.5841594012529302e-05,1.2624339765863304e-06
137,335,1.309927172021547e-05,2.0487524632842627e-05,1.581689245266321e-05,1.2360692440162795e-06
138,335,1.3340225823428214e-05,2.1007585982856104e-05,1.5817658052719874e-05,1.2623837595741202e-06
139,326,1.2548217106797711e-05,2.095127093036892e-05,1.5773856599519452e-05,1.2397258371099946e-06
140,341,1.316245376552814e-05,2.04596997061451e-05,1.5748943479674645e-05,1.2479832080334578e-06
141,336,1.2680921208440329e-05,2.0542346012592396e-05,1.5793854950752388e-05,1.3331900428080236e-06
142,341,1.2537080716030475e-05,2.0702648997617894e-05,1.572018045876064e-05,1.3332984230335587e-06
143,341,1.2420805578028605e-05,1.9581829512707165e-05,1.565984683137553e-05,1.22307835283922e-06
144,325,1.2449930964701204e-05,1.9886164492350773e-05,1.5660927357907475e-05,1.233480066047279e-06
145,344,1.2979028220763839e-05,2.039332583885723e-05,1.5697404576319182e-05,1.2380532484902458e-06
146,354,1.252003717891508e-05,1.9999186208139114e-05,1.57281824101961e-05,1.2389071727439527e-06
147,357,1.275450521738665e-05,1.9428686424528127e-05,1.5811023840596298e-05,1.198889172481674e-06
148,339,1.2631507494535182e-05,2.026482011575309e-05,1.5768112883389975e-05,1.2447923635841417e-06
149,344,1.3187147105731933e-05,2.0180448553561356e-05,1.5666543505104494e-05,1.2276485615250876e-06
150,324,1.2961777769424577e-05,1.9854755316568225e-05,1.568679309624353e-05,1.251703966387008e-06
151,353,1.2469817285038335e-05,2.05814732771235e-05,1.564051144364285e-05,1.2312977251508907e-06
152,356,1.2619831525168112e-05,2.05814732771235e-05,1.5734331782222558e-05,1.272042504773717e-06
153,340,1.2723206164471993e-05,1.9161578650307075e-05,1.5739308555242174e-05,1.2472360879805273e-06
154,344,1.2893237871416339e-05,1.9247615859033794e-05,1.5758357899900035e-05,1.2633762862710751e-06
155,333,1.239529504791462e-05,1.943092574212189e-05,1.5688232134853474e-05,1.2337691956170227e-06
156,353,1.2782585264275973e-05,1.9591422198955127e-05,1.5587034201233488e-05,1.2188236116071927e-06
157,335,1.2910053729223766e-05,1.932485582703305e-05,1.569051898756258e-05,1.1794067497288502e-06
158,355,1.2704562944415518e-05,1.9800706943153797e-05,1.5644341374961544e-05,1.1685325984010407e-06
159,342,1.3049138840748375e-05,1.9309594491656726e-05,1.5686058033927343e-05,1.1627905604162394e-06
160,336,1.306469631836617e-05,2.008521634784711e-05,1.5636583737613142e-05,1.2445832072220618e-06
161,356,1.2524836545027064e-05,1.9754707864839533e-05,1.5659934870104978e-05,1.1818711391446841e-06
162,347,1.2774495814289248e-05,1.9333398814644828e-05,1.5619310154574767e-05,1.2683005614585538e-06
163,353,1.2488215518242778e-05,1.972166982834682e-05,1.55806851320627e-05,1.1877912683669154e-06
164,355,1.2780116611721916e-05,1.9976187224810213e-05,1.54989664818616e-05,1.2031379916269863e-06
165,354,1.2255506310527226e-05,1.962821237201467e-05,1.550101630035279e-05,1.150140590828093e-06
166,351,1.2902401160939993e-05,1.946484584794831e-05,1.5598261800497546e-05,1.168521156818648e-06
167,352,1.2594690753606911e-05,1.9028947735468254e-05,1.5507222840383162e-05,1.167044866130236e-06
168,330,1.2964565736843678e-05,1.978832720390677e-05,1.554455852440489e-05,1.2570347790808767e-06
169,350,1.2577870495736718e-05,2.0358919180331754e-05,1.5616033794454347e-05,1.353052010886943e-06
170,345,1.2741934350034589e-05,2.0004892017753645e-05,1.5630237335236897e-05,1.2135949838074528e-06
171,356,1.300514402803444e-05,2.0776625436110104e-05,1.571047633341357e-05,1.2840902183760216e-06
172,324,1.238790724238662e-05,1.9884979508408592e-05,1.564935797207526e-05,1.2333183134829445e-06
173,341,1.2931419399733508e-05,1.9884979508408592e-05,1.559564184226265e-05,1.2038699018867635e-06
174,337,1.2403100147065321e-05,1.858831523689778e-05,1.550701668741935e-05,1.1421463619445133e-06
175,341,1.2403100147065321e-05,1.936462079660174e-05,1.5498949868403394e-05,1.2111797832723389e-06
176,335,1.3095735381750864e-05,1.9937438747395307e-05,1.5612983163441754e-05,1.205140987510335e-06
177,344,1.2892482303611877e-05,1.9541440724188265e-05,1.5662225524925053e-05,1.185787331479532e-06
178,352,1.2618842727593236e-05,2.024383152202767e-05,1.5687862761438837e-05,1.2537786762743503e-06
179,350,1.2071714723517466e-05,1.997458432696044e-05,1.563989544490435e-05,1.2416358037714914e-06
180,335,1.2785316773504976e-05,1.919497423750491e-05,1.5622087004202407e-05,1.1193642233938093e-06
181,363,1.2906683007827709e-05,2.0468624117965606e-05,1.5579114457833197e-05,1.1675757571872643e-06
182,338,1.2556038535490911e-05,1.8891582788784356e-05,1.5670977966354485e-05,1.1156630030811764e-06
183,360,1.3017306461320828e-05,1.900503556729062e-05,1.573426477653246e-05,1.1684702512150486e-06
184,331,1.2693197711672435e-05,1.986172910055212e-05,1.572291949455655e-05,1.2347610172885549e-06
185,353,1.273608540403313e-05,1.9702721187997666e-05,1.576919657771636e-05,1.2645364027765327e-06
186,347,1.3083469956385361e-05,2.105974721278848e-05,1.57470360701573e-05,1.2340877993586095e-06
187,346,1.278159412713235e-05,2.0466213013352573e-05,1.579744047521124e-05,1.3185773993402748e-06
188,344,1.248033091160198e-05,2.0987298536984786e-05,1.589656915614235e-05,1.3514812624699628e-06
189,336,1.2936990262324578e-05,2.0987298536984786e-05,1.5982230572274066e-05,1.33373440041115e-06
190,346,1.2544801353864092e-05,2.176173210674111e-05,1.5934585251717403e-05,1.3307076657754982e-06
191,347,1.3113424465569323e-05,2.176173210674111e-05,1.5974089825492103e-05,1.3208465132235616e-06
192,339,1.2703251525560152e-05,2.176173210674111e-05,1.588121263673924e-05,1.3269645490926362e-06
193,335,1.2430222252721912e-05,2.073468925342171e-05,1.583034910922278e-05,1.2970782020360397e-06
194,338,1.271814759935389e-05,1.9929116157004146e-05,1.5904176422623942e-05,1.304999590874102e-06
195,342,1.271814759935389e-05,1.967440792449493e-05,1.5802553515351787e-05,1.2111965518327903e-06
196,341,1.230056937340678e-05,1.9993821461552487e-05,1.5832725422417808e-05,1.1904907501160255e-06
197,321,1.2297420122873067e-05,1.9654662710288195e-05,1.57233309705779e-05,1.2826834559778833e-06
198,347,1.2704570564416378e-05,1.992164430910864e-05,1.5771490533916704e-05,1.2430684697750621e-06
199,338,1.2401726057753498e-05,1.970496743925415e-05,1.5712944229870956e-05,1.22374713156577e-06
200,351,1.2401726057753498e-05,2.0088183808719474e-05,1.572342732191387e-05,1.2831514799889625e-06
201,340,1.2695617132224254e-05,2.0088183808719474e-05,1.5683138850871477e-05,1.1915467872103229e-06
202,357,1.2648612658115102e-05,1.905583557322958e-05,1.564200105086558e-05,1.1161270514374495e-06
203,336,1.3249846016748949e-05,1.8916905841220633e-05,1.5744540648637567e-05,1.1495520000810857e-06
204,354,1.2885958369133005e-05,1.9481101440890676e-05,1.5699150705391627e-05,1.1633978097396977e-06
205,339,1.2860337741797332e-05,1.9821792822384697e-05,1.5816614232010448e-05,1.2808360118909895e-06
206,352,1.267250139935e-05,1.944709254638163e-05,1.579629117870915e-05,1.1839748657236607e-06
207,329,1.2685260660833365e-05,2.137321748008208e-05,1.576824596014077e-05,1.2876078713682866e-06
208,341,1.272107726686001e-05,2.072560807370621e-05,1.5686791727890105e-05,1.26404921488412e-06
209,339,1.28881506691072e-05,2.0864231548850225e-05,1.5703129316829023e-05,1.2744735612732098e-06
210,346,1.2746893094434683e-05,1.9887854659419324e-05,1.5676140586008103e-05,1.2691548964608276e-06
211,348,1.3078665822316109e-05,2.0034112135677146e-05,1.5659241750034556e-05,1.2374193000013355e-06
212,359,1.2152308359711302e-05,2.0034112135677146e-05,1.5706082132055323e-05,1.1907774286735044e-06
213,349,1.2573002528516247e-05,2.0006726672558957e-05,1.583765658319019e-05,1.2636087188726647e-06
214,349,1.270065802540994e-05,2.0128541184213797e-05,1.5765375579187795e-05,1.2351859194594441e-06
215,330,1.2361070122709413e-05,2.0006726672558957e-05,1.569123861834197e-05,1.1522317141009898e-06
216,343,1.2361070122709413e-05,2.0006726672558957e-05,1.5706870864355298e-05,1.1870393712238725e-06
217,356,1.2065984056087241e-05,2.031273652228603e-05,1.57184265613773e-05,1.290974361803368e-06
218,329,1.2620057704262161e-05,2.03482005230844e-05,1.5747903186546637e-05,1.2756994033841292e-06
219,352,1.2863092946176536e-05,2.109941798035214e-05,1.576390004466439e-05,1.2151623703555123e-06
220,354,1.2746392743517608e-05,2.109941798035214e-05,1.5800117169591623e-05,1.3125191126123875e-06
221,348,1.2916608100583761e-05,2.0350019488546055e-05,1.5868603711851887e-05,1.2847122426472508e-06
222,346,1.2057282542763555e-05,1.986733440901004e-05,1.5805267664455286e-05,1.2843159311125474e-06
223,347,1.2057282542763555e-05,2.0562287255197826e-05,1.5769280349446705e-05,1.2643753069820368e-06
224,326,1.2778652675483922e-05,1.950200606573343e-05,1.5752241839287e-05,1.2077853305738805e-06
225,337,1.2761578524887e-05,2.1153041138311405e-05,1.5698538010054033e-05,1.2726984324310603e-06
226,329,1.3384594449929986e-05,2.050494992347094e-05,1.5743118115624023e-05,1.1728714466544513e-06
227,349,1.3072735033345688e-05,1.9730630558511752e-05,1.5691024141410316e-05,1.2086431457908993e-06
228,340,1.3169392652289911e-05,2.0061011776732028e-05,1.5584659483796052e-05,1.160519014510378e-06
229,325,1.2832390074137894e-05,1.919205250134342e-05,1.567706951956482e-05,1.226362203110931e-06
230,348,1.2958450533326861e-05,1.9759823364685454e-05,1.5664877056223076e-05,1.240721939683488e-06
231,355,1.2613051603053945e-05,1.9867667153551677e-05,1.567175725898422e-05,1.2572766952964866e-06
232,335,1.1947656583867192e-05,2.0284054302006814e-05,1.5683762978567857e-05,1.2897498741143028e-06
233,320,1.2536696280812608e-05,2.0127915522625317e-05,1.5803752519543797e-05,1.296647572275912e-06
234,340,1.2250999960211308e-05,2.0127915522625317e-05,1.5739571535895982e-05,1.301840054318053e-06
235,333,1.3227203135147087e-05,1.9536979315107704e-05,1.5718045001179176e-05,1.181306252003855e-06
236,353,1.3217070923918679e-05,1.8592442667823588e-05,1.5637841872633244e-05,1.1168809149528622e-06
237,331,1.280533906661725e-05,2.0017003050431837e-05,1.571508003607441e-05,1.1485434586305461e-06
238,340,1.26540518915074e-05,1.851587969978205e-05,1.5595386479446067e-05,1.1329824769280383e-06
239,352,1.2788143385254853e-05,1.957412377789473e-05,1.5583227615765255e-05,1.1607154007941177e-06
240,315,1.322571351420175e-05,1.977907333109671e-05,1.5640977342506875e-05,1.1793566765933661e-06
241,350,1.3097119872698792e-05,1.9090280730305354e-05,1.5561895092805043e-05,1.0845145539844974e-06
242,348,1.2553219548471608e-05,1.967713631417069e-05,1.5700552291787535e-05,1.183592592636206e-06
243,336,1.2744117490395233e-05,1.9849493141170056e-05,1.5683173787231766e-05,1.2955621311866578e-06
244,325,1.2523567013858436e-05,2.0001997872830255e-05,1.5769309060732706e-05,1.3058359836098843e-06
245,348,1.3085904401031712e-05,1.990366178621271e-05,1.571583689293338e-05,1.208546713601423e-06
246,337,1.1992240776466478e-05,1.9548846906610715e-05,1.573221657218106e-05,1.2090094685473963e-06
247,353,1.276857485468894e-05,2.0188109820725786e-05,1.5704048875283213e-05,1.2597169405177633e-06
248,340,1.2691694433801869e-05,2.006762741980995e-05,1.5662094172595537e-05,1.2531900702811242e-06
249,356,1.2290338578777591e-05,1.9518860120447846e-05,1.5692289792294638e-05,1.2912344554722933e-06
250,331,1.2569204349221954e-05,2.0484360721509936e-05,1.5691892536657178e-05,1.299991642207998e-06
251,347,1.2951594132530692e-05,2.0451347900390118e-05,1.581471285140623e-05,1.2819475763269197e-06
252,340,1.286186767821719e-05,2.0243436781068554e-05,1.578872392777114e-05,1.2518027683640612e-06
253,330,1.3291845930575314e-05,2.0163724884455324e-05,1.586149552278196e-05,1.2493699024455086e-06
254,350,1.2546177282161255e-05,2.0298461528636317e-05,1.5809069398143957e-05,1.2951273899368316e-06
255,356,1.2696081587762403e-05,1.9808422365734016e-05,1.5793220818782987e-05,1.2678678365920804e-06
256,349,1.2675096155005319e-05,2.0222416988965456e-05,1.5753898872873198e-05,1.3441997048983055e-06
257,333,1.2675096155005319e-05,2.0371202730813753e-05,1.5779436587041532e-05,1.3881273788034778e-06
258,348,1.2633041342497226e-05,2.0371202730813753e-05,1.5693378928147934e-05,1.3374037366201087e-06
259,335,1.2731351174242267e-05,2.0168342870287067e-05,1.579622840004494e-05,1.2874756418474982e-06
260,350,1.3061159808017963e-05,2.021943885884546e-05,1.57511295288678e-05,1.205547297197993e-06
261,331,1.2876793421300242e-05,1.962658414090198e-05,1.569202850182035e-05,1.1897146965967717e-06
262,321,1.3191226111754116e-05,1.9871927009082076e-05,1.5743060289416944e-05,1.2737459892472778e-06
263,337,1.2740589328406394e-05,1.9779762780769884e-05,1.5816432384637984e-05,1.2159830009525907e-06
264,348,1.2856842563325504e-05,2.013222575000741e-05,1.573402692658596e-05,1.2165072044481548e-06
265,338,1.2629395663129329e-05,2.0035901697516777e-05,1.572692011144022e-05,1.3346570200618104e-06
266,324,1.3007209108160616e-05,1.9995678527608917e-05,1.572823495529689e-05,1.278338229131263e-06
267,350,1.3100525952406258e-05,1.9984484677797836e-05,1.5777489832527165e-05,1.2285199378972023e-06
268,336,1.3098488339984895e-05,1.9293651429841445e-05,1.5784611372732066e-05,1.2043107738001182e-06
269,331,1.2615282719937205e-05,1.934802149057035e-05,1.5765074019897463e-05,1.2471626632176674e-06
270,346,1.2945968616304988e-05,2.030434003844986e-05,1.58730102478157e-05,1.2860991735939136e-06
271,342,1.3101740816122926e-05,2.030434003844986e-05,1.574858641939839e-05,1.1906178753789363e-06
272,338,1.2870192520969605e-05,1.9600483823864312e-05,1.5720070065079046e-05,1.2350374442435007e-06
